Question,Option1,Option2,Option3,Option4,Correct_Ans
What is the capital of France?,Berlin,Madrid,Paris,Rome,3
Which element has the chemical symbol 'O'?,Gold,Hydrogen,Oxygen,Sulfur,3
Who wrote 'To Kill a Mockingbird'?,Harper Lee,Jane Austen,Mark Twain,J.K. Rowling,1
What is the largest planet in our solar system?,Earth,Mars,Jupiter,Saturn,3
What year did the Titanic sink?,1905,1912,1923,1935,2
Which organ is responsible for pumping blood throughout the body?,Liver,Lungs,Heart,Kidneys,3
Who painted the Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,3
What is the smallest prime number?,0,1,2,3,3
What is the powerhouse of the cell?,Nucleus,Endoplasmic Reticulum,Mitochondria,Ribosome,3
What is the boiling point of water in Celsius?,50,75,100,150,3
Who is known as the father of computers?,Albert Einstein,Isaac Newton,Charles Babbage,Nikola Tesla,3
What is the capital of Japan?,Beijing,Seoul,Tokyo,Bangkok,3
Which gas do plants absorb from the atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Helium,2
Who developed the theory of relativity?,Thomas Edison,Galileo Galilei,Albert Einstein,Marie Curie,3
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,4
What is the capital of Germany?,Berlin,Madrid,Rome,Paris,1
Who wrote '1984'?,George Orwell,Aldous Huxley,Ernest Hemingway,F. Scott Fitzgerald,1
What is the smallest country in the world?,Monaco,San Marino,Liechtenstein,Vatican City,4
Which planet is known as the Red Planet?,Mercury,Venus,Mars,Jupiter,3
What is the largest mammal?,Elephant,Blue Whale,Great White Shark,Hippopotamus,2
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Isaac Newton,1
What is the square root of 64?,6,7,8,9,3
In which year did World War II end?,1942,1945,1948,1950,2
Who is the author of 'Harry Potter' series?,J.R.R. Tolkien,J.K. Rowling,Stephen King,Agatha Christie,2
Which is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,2
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Platinum,3
What is the speed of light?,300000 km/s,150000 km/s,299792 km/s,100000 km/s,3
Which planet is closest to the Sun?,Earth,Mars,Venus,Mercury,4
What is the chemical symbol for gold?,Au,Ag,Fe,Pt,1
Who painted the ceiling of the Sistine Chapel?,Leonardo da Vinci,Michelangelo,Rembrandt,Picasso,2
What is the main ingredient in guacamole?,Tomato,Cucumber,Avocado,Peas,3
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,Guglielmo Marconi,1
What is the largest desert in the world?,Sahara,Arabian,Antarctic,Gobi,3
Which ocean is the Bermuda Triangle located in?,Atlantic,Pacific,Indian,Arctic,1
Who developed the polio vaccine?,Albert Sabin,Robert Koch,Edward Jenner,Jonas Salk,4

